"global_step","Rainbow DQN Sweep Config 4 - _step","Rainbow DQN Sweep Config 4 - _step__MIN","Rainbow DQN Sweep Config 4 - _step__MAX","Rainbow DQN Sweep Config 4 - charts/episodic_length","Rainbow DQN Sweep Config 4 - charts/episodic_length__MIN","Rainbow DQN Sweep Config 4 - charts/episodic_length__MAX","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"755471","","","","","","","","","","","","","35501","35501","35501","376","376","376"
"755649","","","","","","","33845","33845","33845","505","505","505","","","","","",""
"755937","","","","","","","","","","","","","35633","35633","35633","466","466","466"
"756446","31834.5","31811","31858","1273","1273","1273","","","","","","","","","","","",""
"756860","","","","","","","33917","33917","33917","479","479","479","","","","","",""
"757292","","","","","","","","","","","","","35707","35707","35707","332","332","332"
"757402","","","","","","","33947","33947","33947","542","542","542","","","","","",""
"757662","31910","31910","31910","1216","1216","1216","","","","","","","","","","","",""
"757727","","","","","","","","","","","","","35702","35680","35724","435","435","435"
"757886","","","","","","","33926","33926","33926","484","484","484","","","","","",""
"758312","","","","","","","33927","33927","33927","426","426","426","","","","","",""
"758573","","","","","","","","","","","","","35721","35690","35752","489","489","489"
"758865","","","","","","","","","","","","","35763","35763","35763","292","292","292"
"759380","","","","","","","","","","","","","35700","35700","35700","515","515","515"
"759410","","","","","","","34038","34038","34038","474","474","474","","","","","",""
"759762","","","","","","","","","","","","","35822","35822","35822","382","382","382"
"760043","","","","","","","34035.5","34007","34064","633","633","633","","","","","",""
"760314","","","","","","","","","","","","","35787","35787","35787","552","552","552"
"760619","","","","","","","34008","34008","34008","576","576","576","","","","","",""
"760699","","","","","","","","","","","","","35822","35791","35853","385","385","385"
"760988","31970","31970","31970","1002","1002","1002","","","","","","","","","","","",""
"761084","","","","","","","","","","","","","35867","35867","35867","385","385","385"
"761151","","","","","","","34116","34116","34116","532","532","532","","","","","",""
"761488","","","","","","","","","","","","","35881","35881","35881","404","404","404"
"761761","","","","","","","34114.5","34087","34142","610","610","610","","","","","",""
"761897","","","","","","","","","","","","","35882","35882","35882","409","409","409"
"762058","32072.5","32048","32097","1070","1070","1070","","","","","","","","","","","",""
"762246","","","","","","","","","","","","","35912.5","35887","35938","349","349","349"
"762544","","","","","","","","","","","","","35949","35949","35949","298","298","298"
"762926","","","","","","","34142.5","34089","34196","569","569","569","","","","","",""
"762939","","","","","","","","","","","","","35896","35896","35896","395","395","395"
"763370","","","","","","","","","","","","","35901","35901","35901","431","431","431"
"763485","","","","","","","34167","34167","34167","559","559","559","","","","","",""
"763530","32143.5","32126","32161","1472","1472","1472","","","","","","","","","","","",""
"763788","","","","","","","","","","","","","36020","36020","36020","418","418","418"
"763979","","","","","","","34168","34168","34168","494","494","494","","","","","",""
"764225","","","","","","","","","","","","","35987","35987","35987","437","437","437"
"764555","","","","","","","34257","34245","34269","576","576","576","","","","","",""
"764842","32216","32216","32216","1312","1312","1312","","","","","","","","","","","",""
"765554","","","","","","","","","","","","","36042.5","36003","36082","385","385","385"
"765761","","","","","","","34247","34247","34247","524","524","524","","","","","",""
"765930","","","","","","","","","","","","","36111","36111","36111","376","376","376"
"766363","","","","","","","34351","34351","34351","602","602","602","","","","","",""
"766695","","","","","","","","","","","","","36136","36136","36136","416","416","416"
"766965","","","","","","","34326","34326","34326","602","602","602","","","","","",""
"767127","32299","32284","32314","1387","1387","1387","","","","","","","","","","","",""
"767441","","","","","","","34327","34327","34327","476","476","476","","","","","",""
"767863","","","","","","","","","","","","","36167","36167","36167","465","465","465"
"767932","","","","","","","34375.5","34328","34423","491","491","491","","","","","",""
"768287","","","","","","","","","","","","","36195.5","36172","36219","424","424","424"
"768316","32366","32366","32366","1189","1189","1189","","","","","","","","","","","",""
"768580","","","","","","","34428.5","34406","34451","648","648","648","","","","","",""
"768590","","","","","","","","","","","","","36203","36176","36230","303","303","303"
"768976","","","","","","","","","","","","","36244","36244","36244","386","386","386"
"769009","32380","32364","32396","693","693","693","","","","","","","","","","","",""
"769141","","","","","","","34407","34407","34407","561","561","561","","","","","",""
"769488","","","","","","","","","","","","","36187","36187","36187","512","512","512"
"770212","","","","","","","","","","","","","36318","36318","36318","311","311","311"
"770241","","","","","","","34525","34525","34525","476","476","476","","","","","",""
"770323","32408","32365","32451","1314","1314","1314","","","","","","","","","","","",""
"770690","","","","","","","","","","","","","36332","36332","36332","478","478","478"
"770825","","","","","","","34554","34554","34554","584","584","584","","","","","",""
"771071","","","","","","","","","","","","","36314","36282","36346","381","381","381"
"771478","","","","","","","","","","","","","36287","36287","36287","407","407","407"
"771595","32501","32501","32501","1272","1272","1272","","","","","","","","","","","",""
"771852","","","","","","","","","","","","","36401","36401","36401","374","374","374"
"771945","","","","","","","34602","34602","34602","413","413","413","","","","","",""
"772381","","","","","","","","","","","","","36418","36418","36418","529","529","529"
"772510","","","","","","","34606","34606","34606","565","565","565","","","","","",""
"772749","","","","","","","","","","","","","36432","36432","36432","368","368","368"
"773091","","","","","","","34630","34607","34653","581","581","581","","","","","",""
"773144","32551.5","32534","32569","1549","1549","1549","","","","","","","","","","","",""
"773231","","","","","","","","","","","","","36417","36385","36449","482","482","482"
"773695","","","","","","","34679","34679","34679","604","604","604","36390","36390","36390","464","464","464"
"774555","","","","","","","","","","","","","36523","36523","36523","418","418","418"
"774990","","","","","","","34712.5","34687","34738","643","643","643","","","","","",""
"775094","32632","32613","32651","1086","1086","1086","","","","","","","","","","","",""
"775367","","","","","","","","","","","","","36551","36551","36551","483","483","483"
"775624","","","","","","","34688","34688","34688","634","634","634","","","","","",""
"775831","","","","","","","","","","","","","36530","36492","36568","464","464","464"
"776145","32656","32614","32698","1051","1051","1051","","","","","","","","","","","",""
"776645","","","","","","","","","","","","","36502","36502","36502","383","383","383"
"776763","","","","","","","34767","34767","34767","620","620","620","","","","","",""
"777123","","","","","","","","","","","","","36640","36640","36640","478","478","478"
"777406","","","","","","","34768","34768","34768","643","643","643","","","","","",""
"777530","32692","32692","32692","1385","1385","1385","","","","","","","","","","","",""
"777642","","","","","","","","","","","","","36623.5","36590","36657","519","519","519"
"778016","","","","","","","34846","34846","34846","610","610","610","","","","","",""
"778041","","","","","","","","","","","","","36595","36595","36595","399","399","399"
"778484","32796","32796","32796","954","954","954","","","","","","","","","","","",""
"778511","","","","","","","","","","","","","36659","36601","36717","470","470","470"
"778585","","","","","","","34847","34847","34847","569","569","569","","","","","",""
"778977","","","","","","","","","","","","","36731","36731","36731","466","466","466"
"779160","","","","","","","34848","34848","34848","575","575","575","","","","","",""
"779629","","","","","","","34926","34926","34926","469","469","469","","","","","",""
"779759","32852","32852","32852","1275","1275","1275","","","","","","","","","","","",""
"779866","","","","","","","","","","","","","36692","36692","36692","499","499","499"
"780233","","","","","","","34977","34977","34977","604","604","604","","","","","",""
"781033","","","","","","","","","","","","","36769.5","36707","36832","429","429","429"
"781457","","","","","","","35019","35006","35032","552","552","552","","","","","",""
"781530","","","","","","","","","","","","","36849","36849","36849","497","497","497"
"781653","32851","32851","32851","920","920","920","","","","","","","","","","","",""
"781922","","","","","","","","","","","","","36794","36794","36794","392","392","392"
"782003","","","","","","","35032.5","35007","35058","546","546","546","","","","","",""
"782413","","","","","","","","","","","","","36840","36800","36880","491","491","491"
"782638","","","","","","","35046","35008","35084","635","635","635","","","","","",""
"782971","32958.5","32930","32987","1318","1318","1318","","","","","","","","","","","",""
"783020","","","","","","","","","","","","","36807","36807","36807","607","607","607"
"783193","","","","","","","35098","35086","35110","555","555","555","","","","","",""
"783456","","","","","","","","","","","","","36812","36812","36812","436","436","436"
"783838","","","","","","","","","","","","","36924","36893","36955","382","382","382"
"784245","","","","","","","35107","35107","35107","434","434","434","","","","","",""
"784295","","","","","","","","","","","","","36898","36898","36898","457","457","457"
"784362","33008","33008","33008","1391","1391","1391","","","","","","","","","","","",""
"784856","","","","","","","","","","","","","36905","36905","36905","561","561","561"
"785324","","","","","","","35209","35209","35209","573","573","573","","","","","",""
"785404","33051","33009","33093","1042","1042","1042","","","","","","","","","","","",""
"785612","","","","","","","","","","","","","36915","36915","36915","359","359","359"
"785712","","","","","","","35186","35186","35186","388","388","388","","","","","",""
"786132","","","","","","","","","","","","","37062","37062","37062","520","520","520"
"786289","33102","33102","33102","885","885","885","","","","","","","","","","","",""
"786546","","","","","","","","","","","","","37038.5","37001","37076","414","414","414"
"786841","","","","","","","35265","35265","35265","559","559","559","","","","","",""
"786989","","","","","","","","","","","","","37048","37006","37090","443","443","443"
"787391","","","","","","","","","","","","","37011","37011","37011","402","402","402"
"787930","","","","","","","35297","35267","35327","491","491","491","","","","","",""
"787999","","","","","","","","","","","","","37018","37018","37018","608","608","608"
"788360","33200","33181","33219","794","794","794","","","","","","","","","","","",""
"788542","","","","","","","","","","","","","37172","37172","37172","543","543","543"
"788982","","","","","","","","","","","","","37106","37106","37106","440","440","440"
"789375","","","","","","","","","","","","","37111","37111","37111","393","393","393"
"789391","33262","33262","33262","1031","1031","1031","","","","","","","","","","","",""
"789832","","","","","","","","","","","","","37117","37117","37117","457","457","457"
"790225","","","","","","","","","","","","","37258","37258","37258","393","393","393"
"790778","33320","33320","33320","1387","1387","1387","","","","","","","","","","","",""
"790808","","","","","","","35426","35426","35426","576","576","576","","","","","",""
"791132","","","","","","","","","","","","","37289","37289","37289","408","408","408"
"791283","","","","","","","35427","35427","35427","475","475","475","","","","","",""
"791570","","","","","","","","","","","","","37272","37214","37330","438","438","438"
"791906","","","","","","","35428","35428","35428","623","623","623","","","","","",""
"791997","33371","33371","33371","1219","1219","1219","","","","","","","","","","","",""
"792000","","","","","","","","","","","","","37219","37219","37219","430","430","430"
"792485","","","","","","","35532","35532","35532","579","579","579","","","","","",""
"792525","","","","","","","","","","","","","37295","37226","37364","525","525","525"
"793063","","","","","","","35507","35507","35507","578","578","578","","","","","",""
"793095","","","","","","","","","","","","","37307","37307","37307","570","570","570"
"793274","33422","33417","33427","1277","1277","1277","","","","","","","","","","","",""
"793535","","","","","","","","","","","","","37313","37313","37313","440","440","440"
"793616","","","","","","","35508","35508","35508","553","553","553","","","","","",""
"794459","","","","","","","","","","","","","37429","37429","37429","448","448","448"
"794629","33451.5","33418","33485","1355","1355","1355","","","","","","","","","","","",""
"794643","","","","","","","35632","35632","35632","497","497","497","","","","","",""
"795192","","","","","","","35587","35587","35587","549","549","549","","","","","",""
"795296","","","","","","","","","","","","","37441","37441","37441","387","387","387"
"795728","","","","","","","35683","35683","35683","536","536","536","","","","","",""
"795803","33536","33536","33536","1174","1174","1174","","","","","","","","","","","",""
"796216","","","","","","","","","","","","","37453","37453","37453","468","468","468"
"796436","","","","","","","35690.5","35666","35715","708","708","708","","","","","",""
"796774","","","","","","","","","","","","","37535","37535","37535","558","558","558"
"797309","33600","33600","33600","1506","1506","1506","","","","","","","","","","","",""
"797576","","","","","","","35668","35668","35668","608","608","608","","","","","",""
"797676","","","","","","","","","","","","","37594","37594","37594","364","364","364"
"798240","","","","","","","35704","35704","35704","664","664","664","","","","","",""
"798475","","","","","","","","","","","","","37555","37555","37555","433","433","433"
"798620","33576","33576","33576","1311","1311","1311","","","","","","","","","","","",""
"798882","","","","","","","35765.5","35711","35820","642","642","642","","","","","",""
"798990","","","","","","","","","","","","","37561","37561","37561","515","515","515"
"799438","","","","","","","35788.5","35727","35850","556","556","556","","","","","",""
"799473","","","","","","","","","","","","","37683","37683","37683","483","483","483"
"799893","33659","33659","33659","1273","1273","1273","","","","","","","","","","","",""
"800442","","","","","","","","","","","","","37717","37717","37717","522","522","522"
"800544","","","","","","","35847","35847","35847","503","503","503","","","","","",""
"800861","","","","","","","","","","","","","37660","37660","37660","419","419","419"
"801064","33737","33737","33737","1171","1171","1171","","","","","","","","","","","",""
"801623","","","","","","","","","","","","","37745","37745","37745","382","382","382"
"801663","","","","","","","35949","35949","35949","540","540","540","","","","","",""
"801988","33766.5","33738","33795","924","924","924","","","","","","","","","","","",""
"802116","","","","","","","","","","","","","37751","37751","37751","493","493","493"
"802242","","","","","","","35926","35926","35926","579","579","579","","","","","",""
"802604","","","","","","","","","","","","","37788.5","37757","37820","488","488","488"
"802769","","","","","","","35927","35927","35927","527","527","527","","","","","",""
"803075","","","","","","","","","","","","","37834","37834","37834","471","471","471"
"803331","33835.5","33816","33855","1343","1343","1343","","","","","","","","","","","",""
"803530","","","","","","","","","","","","","37879","37879","37879","455","455","455"
"803891","","","","","","","36047","36047","36047","612","612","612","","","","","",""
"804352","","","","","","","","","","","","","37907","37907","37907","360","360","360"
"804433","","","","","","","36073","36073","36073","542","542","542","","","","","",""
"804624","33863.5","33817","33910","1293","1293","1293","","","","","","","","","","","",""
"805118","","","","","","","36106","36106","36106","685","685","685","","","","","",""
"805399","","","","","","","","","","","","","37941","37941","37941","521","521","521"
"805659","","","","","","","36128","36128","36128","541","541","541","","","","","",""
"805834","","","","","","","","","","","","","37872","37872","37872","435","435","435"
"805923","33930","33896","33964","1299","1299","1299","","","","","","","","","","","",""
"806197","","","","","","","36087","36087","36087","538","538","538","","","","","",""
"806295","","","","","","","","","","","","","37953","37953","37953","461","461","461"
"806723","","","","","","","","","","","","","37959","37959","37959","428","428","428"
"807162","","","","","","","","","","","","","37964","37964","37964","439","439","439"
"807500","","","","","","","36166","36166","36166","694","694","694","","","","","",""
"807699","","","","","","","","","","","","","38008","37970","38046","537","537","537"
"807985","34050","34050","34050","864","864","864","","","","","","","","","","","",""
"808039","","","","","","","36235","36235","36235","539","539","539","","","","","",""
"808283","","","","","","","","","","","","","38052","38052","38052","584","584","584"
"808666","","","","","","","36254.5","36245","36264","627","627","627","","","","","",""
"809314","","","","","","","36270","36246","36294","648","648","648","","","","","",""
"809368","34081.5","34054","34109","1383","1383","1383","","","","","","","","","","","",""
"809717","","","","","","","","","","","","","38070","38070","38070","446","446","446"
"810206","","","","","","","","","","","","","38132","38076","38188","489","489","489"
"810366","","","","","","","36342","36342","36342","571","571","571","","","","","",""
"810491","34144.5","34132","34157","1123","1123","1123","","","","","","","","","","","",""
"810708","","","","","","","","","","","","","38181.5","38158","38205","502","502","502"
"811109","","","","","","","","","","","","","38163","38163","38163","401","401","401"
"811419","","","","","","","36390","36390","36390","489","489","489","","","","","",""
"811503","","","","","","","","","","","","","38168","38168","38168","394","394","394"
"811789","34211","34211","34211","1298","1298","1298","","","","","","","","","","","",""
"811921","","","","","","","36328","36328","36328","502","502","502","","","","","",""
"812164","","","","","","","","","","","","","38253","38253","38253","661","661","661"
"812538","","","","","","","36413","36413","36413","617","617","617","","","","","",""
"812774","","","","","","","","","","","","","38279","38258","38300","610","610","610"
"813053","","","","","","","36438.5","36414","36463","515","515","515","","","","","",""
"813139","34247.5","34224","34271","1350","1350","1350","","","","","","","","","","","",""
"813671","","","","","","","36415","36415","36415","618","618","618","","","","","",""
"813788","","","","","","","","","","","","","38270","38270","38270","506","506","506"
"814066","34268","34225","34311","927","927","927","","","","","","","","","","","",""
"814249","","","","","","","36492","36492","36492","578","578","578","","","","","",""
"814673","","","","","","","","","","","","","38281","38281","38281","422","422","422"
"814858","34303","34303","34303","792","792","792","","","","","","","","","","","",""
"815614","","","","","","","","","","","","","38397.5","38369","38426","472","472","472"
"815919","","","","","","","36572","36572","36572","531","531","531","","","","","",""
"816103","","","","","","","","","","","","","38409","38375","38443","489","489","489"
"816600","","","","","","","","","","","","","38457","38457","38457","497","497","497"
"817193","","","","","","","36574","36574","36574","658","658","658","","","","","",""
"817270","34414","34382","34446","1265","1265","1265","","","","","","","","","","","",""
"817902","","","","","","","","","","","","","38529","38529","38529","606","606","606"
"818372","34494","34494","34494","1102","1102","1102","","","","","","","","","","","",""
"818462","","","","","","","","","","","","","38546","38546","38546","560","560","560"
"818889","","","","","","","","","","","","","38560","38560","38560","427","427","427"
"818890","","","","","","","36654","36654","36654","471","471","471","","","","","",""
"819495","34501.5","34462","34541","1123","1123","1123","","","","","","","","","","","",""
"819507","","","","","","","","","","","","","38588.5","38566","38611","618","618","618"
"819509","","","","","","","36744.5","36732","36757","619","619","619","","","","","",""
"820606","","","","","","","36769.5","36734","36805","617","617","617","","","","","",""
"820608","","","","","","","","","","","","","38579","38579","38579","558","558","558"
"820767","34567.5","34540","34595","1272","1272","1272","","","","","","","","","","","",""
"821117","","","","","","","","","","","","","38585","38585","38585","509","509","509"
"821222","","","","","","","36835","36835","36835","616","616","616","","","","","",""
"821555","","","","","","","","","","","","","38590","38590","38590","438","438","438"
"821702","","","","","","","36835","36813","36857","480","480","480","","","","","",""
"822024","34635","34619","34651","1257","1257","1257","","","","","","","","","","","",""
"822050","","","","","","","","","","","","","38678","38678","38678","495","495","495"
"822541","","","","","","","","","","","","","38712","38684","38740","491","491","491"
"822975","","","","","","","","","","","","","38721.5","38689","38754","434","434","434"
"823282","34620","34620","34620","1258","1258","1258","","","","","","","","","","","",""
"823406","","","","","","","","","","","","","38771","38771","38771","431","431","431"
"823494","","","","","","","36913.5","36893","36934","604","604","604","","","","","",""
"823902","","","","","","","","","","","","","38701","38701","38701","496","496","496"
"824060","","","","","","","36927","36894","36960","566","566","566","","","","","",""
"824324","","","","","","","","","","","","","38828","38828","38828","422","422","422"
"824421","34752","34752","34752","1139","1139","1139","","","","","","","","","","","",""
"824941","","","","","","","","","","","","","38848","38848","38848","617","617","617"
"825378","","","","","","","37019","37019","37019","594","594","594","","","","","",""
"825852","34785","34785","34785","1431","1431","1431","","","","","","","","","","","",""
"826041","","","","","","","36974","36974","36974","663","663","663","","","","","",""
"826154","","","","","","","","","","","","","38802","38802","38802","520","520","520"
"826724","","","","","","","","","","","","","38885","38885","38885","570","570","570"
"827191","34786","34786","34786","1339","1339","1339","","","","","","","","","","","",""
"827248","","","","","","","37104","37104","37104","616","616","616","","","","","",""
"827253","","","","","","","","","","","","","38952","38952","38952","529","529","529"
"827800","","","","","","","","","","","","","38969","38969","38969","547","547","547"
"827881","","","","","","","37077","37077","37077","633","633","633","","","","","",""
"828361","34890.5","34864","34917","1170","1170","1170","","","","","","","","","","","",""
"828481","","","","","","","37158","37158","37158","600","600","600","","","","","",""
"828738","","","","","","","","","","","","","38985","38985","38985","532","532","532"
"829036","","","","","","","37184","37184","37184","555","555","555","","","","","",""
"829143","","","","","","","","","","","","","39044","39044","39044","405","405","405"
"829657","","","","","","","","","","","","","39028.5","38996","39061","514","514","514"
"829694","34957.5","34942","34973","1333","1333","1333","","","","","","","","","","","",""
"829738","","","","","","","37157","37157","37157","702","702","702","","","","","",""
"830034","","","","","","","","","","","","","39075","39075","39075","377","377","377"
"830453","","","","","","","","","","","","","39006","39006","39006","419","419","419"
"830588","34977","34943","35011","894","894","894","","","","","","","","","","","",""
"830824","","","","","","","","","","","","","39108.5","39087","39130","371","371","371"
"831009","","","","","","","37274","37274","37274","640","640","640","","","","","",""
"831957","35022","35022","35022","1369","1369","1369","","","","","","","","","","","",""
"832090","","","","","","","37279.5","37238","37321","567","567","567","","","","","",""
"832366","","","","","","","","","","","","","39181","39181","39181","628","628","628"
"832723","","","","","","","37351","37351","37351","633","633","633","","","","","",""
"832946","","","","","","","","","","","","","39187","39187","39187","580","580","580"
"833158","35111","35100","35122","1201","1201","1201","","","","","","","","","","","",""
"833529","","","","","","","","","","","","","39248","39248","39248","583","583","583"
"833874","","","","","","","37402","37402","37402","632","632","632","","","","","",""
"833916","","","","","","","","","","","","","39230.5","39199","39262","387","387","387"
"834401","35138.5","35101","35176","1243","1243","1243","","","","","","","","","","","",""
"834491","","","","","","","37412","37396","37428","617","617","617","","","","","",""
"835168","","","","","","","37397","37397","37397","677","677","677","","","","","",""
"835352","","","","","","","","","","","","","39292","39292","39292","395","395","395"
"836324","","","","","","","","","","","","","39337.5","39304","39371","459","459","459"
"836781","35275","35275","35275","1097","1097","1097","","","","","","","","","","","",""
"836866","","","","","","","","","","","","","39310","39310","39310","542","542","542"
"837269","","","","","","","37551","37551","37551","605","605","605","","","","","",""
"837749","","","","","","","37527","37478","37576","480","480","480","","","","","",""
"837772","","","","","","","","","","","","","39397","39397","39397","455","455","455"
"837927","35293","35259","35327","1146","1146","1146","","","","","","","","","","","",""
"838309","","","","","","","","","","","","","39404","39404","39404","537","537","537"
"838770","","","","","","","","","","","","","39444.5","39409","39480","461","461","461"
"838855","","","","","","","37556","37556","37556","554","554","554","","","","","",""
"839159","35320","35320","35320","1232","1232","1232","","","","","","","","","","","",""
"839191","","","","","","","","","","","","","39414","39414","39414","421","421","421"
"839420","","","","","","","37653","37653","37653","565","565","565","","","","","",""
"839871","35321","35321","35321","712","712","712","","","","","","","","","","","",""
"839900","","","","","","","","","","","","","39520","39497","39543","709","709","709"
"840007","","","","","","","37679","37679","37679","587","587","587","","","","","",""
"840588","","","","","","","","","","","","","39566","39566","39566","688","688","688"
"840720","","","","","","","37709","37709","37709","713","713","713","","","","","",""
"841152","35430.5","35399","35462","1281","1281","1281","","","","","","","","","","","",""
"841326","","","","","","","37735","37735","37735","606","606","606","","","","","",""
"841870","","","","","","","37740","37740","37740","544","544","544","","","","","",""
"841876","35485.5","35477","35494","724","724","724","","","","","","","","","","","",""
"842149","","","","","","","","","","","","","39624","39600","39648","480","480","480"
"842481","","","","","","","37786","37786","37786","611","611","611","","","","","",""
"843309","35517.5","35478","35557","1433","1433","1433","","","","","","","","","","","",""
"843621","","","","","","","37819","37819","37819","511","511","511","","","","","",""
"844281","","","","","","","37843.5","37820","37867","660","660","660","","","","","",""
"844462","","","","","","","","","","","","","39753","39753","39753","358","358","358"
"844647","35583.5","35556","35611","1338","1338","1338","","","","","","","","","","","",""
"844836","","","","","","","","","","","","","39738","39709","39767","374","374","374"
"844838","","","","","","","37821","37821","37821","557","557","557","","","","","",""
"845537","","","","","","","37912.5","37899","37926","699","699","699","","","","","",""
"846047","","","","","","","","","","","","","39778.5","39723","39834","640","640","640"
"846095","35635","35635","35635","1448","1448","1448","","","","","","","","","","","",""
"846155","","","","","","","37926","37900","37952","618","618","618","","","","","",""
"847180","","","","","","","","","","","","","39841.5","39812","39871","459","459","459"
"847260","","","","","","","37991","37979","38003","582","582","582","","","","","",""
"847264","35679","35636","35722","1169","1169","1169","","","","","","","","","","","",""
"847762","","","","","","","","","","","","","39891","39891","39891","582","582","582"
"847938","","","","","","","38006.5","37980","38033","678","678","678","","","","","",""
"848362","","","","","","","","","","","","","39937","39937","39937","600","600","600"
"848406","","","","","","","37981","37981","37981","468","468","468","","","","","",""
"848445","35715","35715","35715","1181","1181","1181","","","","","","","","","","","",""
"848915","","","","","","","","","","","","","39913","39913","39913","553","553","553"
"848939","","","","","","","38080","38080","38080","533","533","533","","","","","",""
"849567","","","","","","","","","","","","","39977","39977","39977","652","652","652"
"849583","","","","","","","38106","38106","38106","644","644","644","","","","","",""
"849947","","","","","","","","","","","","","39958","39925","39991","380","380","380"
"849986","35814.5","35793","35836","1541","1541","1541","","","","","","","","","","","",""
"850287","","","","","","","38136","38136","38136","704","704","704","","","","","",""
"850488","","","","","","","","","","","","","39969.5","39931","40008","541","541","541"
"850852","","","","","","","38139","38139","38139","565","565","565","","","","","",""
"851061","35883","35883","35883","1075","1075","1075","","","","","","","","","","","",""
"851380","","","","","","","38140","38140","38140","528","528","528","","","","","",""
"852192","35901","35873","35929","1131","1131","1131","","","","","","","","","","","",""
"852193","","","","","","","","","","","","","40026","40026","40026","591","591","591"
"852633","","","","","","","38232.5","38219","38246","748","748","748","","","","","",""
"852661","","","","","","","","","","","","","40032","40032","40032","468","468","468"
"853230","35977","35977","35977","1038","1038","1038","","","","","","","","","","","",""
"853298","","","","","","","38220","38220","38220","665","665","665","","","","","",""
"853853","","","","","","","","","","","","","40122","40122","40122","639","639","639"
"854006","","","","","","","38221","38221","38221","708","708","708","","","","","",""
"855082","","","","","","","","","","","","","40214","40214","40214","621","621","621"
"855329","","","","","","","38365","38365","38365","616","616","616","","","","","",""
"855550","36074","36074","36074","1320","1320","1320","","","","","","","","","","","",""
"855633","","","","","","","","","","","","","40219","40219","40219","551","551","551"
"855970","","","","","","","38301","38301","38301","641","641","641","","","","","",""
"856570","","","","","","","38400","38400","38400","600","600","600","","","","","",""
"856776","36117.5","36109","36126","1226","1226","1226","","","","","","","","","","","",""
"857024","","","","","","","","","","","","","40236","40236","40236","417","417","417"
"857546","","","","","","","","","","","","","40353","40353","40353","522","522","522"
"857745","","","","","","","38472","38472","38472","615","615","615","","","","","",""
"857860","36141","36110","36172","1084","1084","1084","","","","","","","","","","","",""
"858035","","","","","","","","","","","","","40324","40324","40324","489","489","489"
"858269","","","","","","","38498","38498","38498","524","524","524","","","","","",""
"858513","","","","","","","","","","","","","40358.5","40330","40387","478","478","478"
"858827","","","","","","","38524","38524","38524","558","558","558","","","","","",""
"859411","","","","","","","","","","","","","40379.5","40341","40418","470","470","470"
"859447","","","","","","","38481","38481","38481","620","620","620","","","","","",""
"859926","","","","","","","","","","","","","40422","40422","40422","515","515","515"
"860327","","","","","","","","","","","","","40427","40427","40427","401","401","401"
"860547","36277","36267","36287","1338","1338","1338","","","","","","","","","","","",""
"860600","","","","","","","38601","38601","38601","662","662","662","","","","","",""
"860780","","","","","","","","","","","","","40489","40489","40489","453","453","453"
"861055","","","","","","","38592","38561","38623","455","455","455","","","","","",""
"861455","","","","","","","","","","","","","40512","40512","40512","675","675","675"
"861560","36329","36329","36329","1013","1013","1013","","","","","","","","","","","",""
"861968","","","","","","","","","","","","","40538.5","40522","40555","513","513","513"
"862494","","","","","","","","","","","","","40550","40528","40572","526","526","526"
"862498","36357.5","36346","36369","938","938","938","","","","","","","","","","","",""
"862822","","","","","","","38704","38704","38704","675","675","675","","","","","",""
"863503","","","","","","","38737","38737","38737","681","681","681","","","","","",""
"863793","36347","36347","36347","1295","1295","1295","","","","","","","","","","","",""
"864150","","","","","","","38720","38720","38720","647","647","647","","","","","",""
"864797","","","","","","","","","","","","","40676","40676","40676","476","476","476"
"864870","","","","","","","38793","38793","38793","720","720","720","","","","","",""
"865267","36452","36418","36486","1474","1474","1474","","","","","","","","","","","",""
"865305","","","","","","","38818","38818","38818","435","435","435","","","","","",""
"865485","","","","","","","","","","","","","40669","40639","40699","688","688","688"
"865975","","","","","","","38822","38800","38844","670","670","670","","","","","",""
"866509","36519","36496","36542","1242","1242","1242","","","","","","","","","","","",""
"866618","","","","","","","38874","38874","38874","643","643","643","","","","","",""
"866680","","","","","","","","","","","","","40765","40765","40765","530","530","530"
"867113","","","","","","","38802","38802","38802","495","495","495","","","","","",""
"867187","","","","","","","","","","","","","40758.5","40735","40782","507","507","507"
"867633","36497","36497","36497","1124","1124","1124","","","","","","","","","","","",""
"867886","","","","","","","","","","","","","40743","40743","40743","699","699","699"
"868165","","","","","","","38912","38881","38943","628","628","628","","","","","",""
"868534","","","","","","","","","","","","","40751","40751","40751","648","648","648"
"868646","36575","36575","36575","1013","1013","1013","","","","","","","","","","","",""
"868799","","","","","","","38882","38882","38882","634","634","634","","","","","",""
"869026","","","","","","","","","","","","","40833","40833","40833","492","492","492"
"869335","","","","","","","38960","38960","38960","536","536","536","","","","","",""
"869535","","","","","","","","","","","","","40888","40888","40888","509","509","509"
"869856","36654","36654","36654","1210","1210","1210","","","","","","","","","","","",""
"869857","","","","","","","38990.5","38961","39020","522","522","522","","","","","",""
"870223","","","","","","","","","","","","","40847","40847","40847","688","688","688"
"870265","","","","","","","39000","38962","39038","408","408","408","","","","","",""
"870772","","","","","","","","","","","","","40853","40853","40853","549","549","549"
"870941","","","","","","","39063","39063","39063","676","676","676","","","","","",""
